bo632103.02
0	0	0.32	0.58	60
0	1	0.32	0.58	72.5
0	2	0.32	0.58	60
0	3	0.32	0.58	62.5
0	4	0.32	0.58	42.5
0	5	0.32	0.58	52.5
0	6	0.32	0.58	77.5
1	0	0.395	0.5225	57.5
1	1	0.395	0.5225	62.5
1	2	0.395	0.5225	67.5
1	3	0.395	0.5225	32.5
1	4	0.395	0.5225	55
1	5	0.395	0.5225	45
1	6	0.395	0.5225	47.5
2	0	0.47	0.465	67.5
2	1	0.47	0.465	60
2	2	0.47	0.465	65
2	3	0.47	0.465	70
2	4	0.47	0.465	70
2	5	0.47	0.465	50
2	6	0.47	0.465	65
3	0	0.545	0.4075	97.5
3	1	0.545	0.4075	115
3	2	0.545	0.4075	105
3	3	0.545	0.4075	92.5
3	4	0.545	0.4075	92.5
3	5	0.545	0.4075	127.5
3	6	0.545	0.4075	120
4	0	0.62	0.35	177.5
4	1	0.62	0.35	170
4	2	0.62	0.35	187.5
4	3	0.62	0.35	170
4	4	0.62	0.35	187.5
4	5	0.62	0.35	177.5
4	6	0.62	0.35	180
5	0	0.2775	0.4525	45
5	1	0.2775	0.4525	60
5	2	0.2775	0.4525	45
5	3	0.2775	0.4525	22.5
5	4	0.2775	0.4525	22.5
5	5	0.2775	0.4525	40
5	6	0.2775	0.4525	42.5
6	0	0.3525	0.395	40
6	1	0.3525	0.395	35
6	2	0.3525	0.395	22.5
6	3	0.3525	0.395	37.5
6	4	0.3525	0.395	35
6	5	0.3525	0.395	40
6	6	0.3525	0.395	22.5
7	0	0.4275	0.3375	80
7	1	0.4275	0.3375	52.5
7	2	0.4275	0.3375	57.5
7	3	0.4275	0.3375	45
7	4	0.4275	0.3375	82.5
7	5	0.4275	0.3375	57.5
7	6	0.4275	0.3375	55
8	0	0.5025	0.28	125
8	1	0.5025	0.28	110
8	2	0.5025	0.28	122.5
8	3	0.5025	0.28	132.5
8	4	0.5025	0.28	107.5
8	5	0.5025	0.28	115
8	6	0.5025	0.28	127.5
9	0	0.235	0.325	62.5
9	1	0.235	0.325	77.5
9	2	0.235	0.325	70
9	3	0.235	0.325	87.5
9	4	0.235	0.325	70
9	5	0.235	0.325	80
9	6	0.235	0.325	57.5
10	0	0.31	0.2675	35
10	1	0.31	0.2675	17.5
10	2	0.31	0.2675	35
10	3	0.31	0.2675	62.5
10	4	0.31	0.2675	40
10	5	0.31	0.2675	47.5
10	6	0.31	0.2675	27.5
11	0	0.385	0.21	95
11	1	0.385	0.21	92.5
11	2	0.385	0.21	127.5
11	3	0.385	0.21	102.5
11	4	0.385	0.21	102.5
11	5	0.385	0.21	90
11	6	0.385	0.21	107.5
12	0	0.1925	0.1975	107.5
12	1	0.1925	0.1975	112.5
12	2	0.1925	0.1975	82.5
12	3	0.1925	0.1975	105
12	4	0.1925	0.1975	77.5
12	5	0.1925	0.1975	107.5
12	6	0.1925	0.1975	95
13	0	0.2675	0.14	87.5
13	1	0.2675	0.14	57.5
13	2	0.2675	0.14	82.5
13	3	0.2675	0.14	67.5
13	4	0.2675	0.14	102.5
13	5	0.2675	0.14	75
13	6	0.2675	0.14	90
end of bo632103.02
bo5a0202.15
0	0	0.32	0.58	32.5
0	1	0.32	0.58	15
0	2	0.32	0.58	37.5
0	3	0.32	0.58	22.5
0	4	0.32	0.58	25
1	0	0.395	0.5225	32.5
1	1	0.395	0.5225	27.5
1	2	0.395	0.5225	42.5
1	3	0.395	0.5225	35
1	4	0.395	0.5225	30
2	0	0.47	0.465	40
2	1	0.47	0.465	25
2	2	0.47	0.465	40
2	3	0.47	0.465	35
2	4	0.47	0.465	45
2	5	0.47	0.465	37.5
3	0	0.545	0.4075	57.5
3	1	0.545	0.4075	45
3	2	0.545	0.4075	55
3	3	0.545	0.4075	47.5
3	4	0.545	0.4075	47.5
4	0	0.62	0.35	102.5
4	1	0.62	0.35	92.5
4	2	0.62	0.35	92.5
4	3	0.62	0.35	90
4	4	0.62	0.35	82.5
5	0	0.2775	0.4525	20
5	1	0.2775	0.4525	30
5	2	0.2775	0.4525	32.5
5	3	0.2775	0.4525	20
5	4	0.2775	0.4525	22.5
6	0	0.3525	0.395	15
6	1	0.3525	0.395	30
6	2	0.3525	0.395	25
6	3	0.3525	0.395	35
6	4	0.3525	0.395	12.5
7	0	0.4275	0.3375	60
7	1	0.4275	0.3375	35
7	2	0.4275	0.3375	27.5
7	3	0.4275	0.3375	32.5
7	4	0.4275	0.3375	35
8	0	0.5025	0.28	82.5
8	1	0.5025	0.28	70
8	2	0.5025	0.28	92.5
8	3	0.5025	0.28	90
8	4	0.5025	0.28	87.5
9	0	0.235	0.325	45
9	1	0.235	0.325	35
9	2	0.235	0.325	47.5
9	3	0.235	0.325	47.5
9	4	0.235	0.325	30
10	0	0.31	0.2675	37.5
10	1	0.31	0.2675	45
10	2	0.31	0.2675	52.5
10	3	0.31	0.2675	30
10	4	0.31	0.2675	20
11	0	0.385	0.21	97.5
11	1	0.385	0.21	90
11	2	0.385	0.21	85
11	3	0.385	0.21	70
11	4	0.385	0.21	85
12	0	0.1925	0.1975	62.5
12	1	0.1925	0.1975	65
12	2	0.1925	0.1975	72.5
12	3	0.1925	0.1975	57.5
12	4	0.1925	0.1975	85
13	0	0.2675	0.14	42.5
13	1	0.2675	0.14	60
13	2	0.2675	0.14	62.5
13	3	0.2675	0.14	57.5
13	4	0.2675	0.14	55
14	0	0.15	0.07	85
14	1	0.15	0.07	75
14	2	0.15	0.07	92.5
14	3	0.15	0.07	67.5
14	4	0.15	0.07	65
end of bo5a0202.15
bo592702.02
0	0	0.32	0.58	0
0	1	0.32	0.58	0
0	2	0.32	0.58	0
0	3	0.32	0.58	-5
0	4	0.32	0.58	0
0	5	0.32	0.58	0
0	6	0.32	0.58	0
0	7	0.32	0.58	0
0	8	0.32	0.58	0
0	9	0.32	0.58	0
1	0	0.395	0.5225	2.5
1	1	0.395	0.5225	-5
1	2	0.395	0.5225	0
1	3	0.395	0.5225	2.5
1	4	0.395	0.5225	0
1	5	0.395	0.5225	0
1	6	0.395	0.5225	2.5
1	7	0.395	0.5225	0
1	8	0.395	0.5225	0
1	9	0.395	0.5225	0
2	0	0.47	0.465	0
2	1	0.47	0.465	0
2	2	0.47	0.465	2.5
2	3	0.47	0.465	12.5
2	4	0.47	0.465	0
2	5	0.47	0.465	0
2	6	0.47	0.465	0
2	7	0.47	0.465	5
2	8	0.47	0.465	0
2	9	0.47	0.465	0
3	0	0.545	0.4075	0
3	1	0.545	0.4075	0
3	2	0.545	0.4075	-5
3	3	0.545	0.4075	0
3	4	0.545	0.4075	0
3	5	0.545	0.4075	0
3	6	0.545	0.4075	2.5
3	7	0.545	0.4075	0
3	8	0.545	0.4075	0
3	9	0.545	0.4075	0
4	0	0.62	0.35	0
4	1	0.62	0.35	0
4	2	0.62	0.35	0
4	3	0.62	0.35	0
4	4	0.62	0.35	0
4	5	0.62	0.35	0
4	6	0.62	0.35	0
4	7	0.62	0.35	0
4	8	0.62	0.35	0
4	9	0.62	0.35	0
5	0	0.2775	0.4525	0
5	1	0.2775	0.4525	0
5	2	0.2775	0.4525	0
5	3	0.2775	0.4525	0
5	4	0.2775	0.4525	0
5	5	0.2775	0.4525	0
5	6	0.2775	0.4525	0
5	7	0.2775	0.4525	2.5
5	8	0.2775	0.4525	0
5	9	0.2775	0.4525	0
6	0	0.3525	0.395	12.5
6	1	0.3525	0.395	2.5
6	2	0.3525	0.395	25
6	3	0.3525	0.395	0
6	4	0.3525	0.395	15
6	5	0.3525	0.395	10
6	6	0.3525	0.395	7.5
6	7	0.3525	0.395	0
6	8	0.3525	0.395	5
6	9	0.3525	0.395	30
7	0	0.4275	0.3375	0
7	1	0.4275	0.3375	0
7	2	0.4275	0.3375	0
7	3	0.4275	0.3375	2.5
7	4	0.4275	0.3375	0
7	5	0.4275	0.3375	10
7	6	0.4275	0.3375	2.5
7	7	0.4275	0.3375	-5
7	8	0.4275	0.3375	2.5
7	9	0.4275	0.3375	0
8	0	0.5025	0.28	0
8	1	0.5025	0.28	2.5
8	2	0.5025	0.28	0
8	3	0.5025	0.28	0
8	4	0.5025	0.28	0
8	5	0.5025	0.28	0
8	6	0.5025	0.28	0
8	7	0.5025	0.28	0
8	8	0.5025	0.28	2.5
8	9	0.5025	0.28	0
9	0	0.235	0.325	0
9	1	0.235	0.325	2.5
9	2	0.235	0.325	0
9	3	0.235	0.325	0
9	4	0.235	0.325	0
9	5	0.235	0.325	2.5
9	6	0.235	0.325	7.5
9	7	0.235	0.325	2.5
9	8	0.235	0.325	0
9	9	0.235	0.325	2.5
10	0	0.31	0.2675	5
10	1	0.31	0.2675	0
10	2	0.31	0.2675	10
10	3	0.31	0.2675	2.5
10	4	0.31	0.2675	7.5
10	5	0.31	0.2675	17.5
10	6	0.31	0.2675	2.5
10	7	0.31	0.2675	5
10	8	0.31	0.2675	2.5
10	9	0.31	0.2675	15
11	0	0.385	0.21	7.5
11	1	0.385	0.21	-2.5
11	2	0.385	0.21	2.5
11	3	0.385	0.21	0
11	4	0.385	0.21	12.5
11	5	0.385	0.21	0
11	6	0.385	0.21	0
11	7	0.385	0.21	5
11	8	0.385	0.21	0
11	9	0.385	0.21	0
12	0	0.1925	0.1975	2.5
12	1	0.1925	0.1975	5
12	2	0.1925	0.1975	2.5
12	3	0.1925	0.1975	2.5
12	4	0.1925	0.1975	5
12	5	0.1925	0.1975	10
12	6	0.1925	0.1975	0
12	7	0.1925	0.1975	2.5
12	8	0.1925	0.1975	12.5
12	9	0.1925	0.1975	7.5
13	0	0.2675	0.14	0
13	1	0.2675	0.14	0
13	2	0.2675	0.14	2.5
13	3	0.2675	0.14	5
13	4	0.2675	0.14	0
13	5	0.2675	0.14	2.5
