,title,author,rating,votes_count,students_count,level,duration,platform,free
57,Artificial Intelligence for Beginners: Tools to Learn Machine Learning,Alvin Wan,3.2,7,638,Beginner,1.0894444444444444,Skillshare,True
58,Complete SAP Basis Bootcamp: Go from zero to hero in SAP Basis module,George Boyle,2.0,1,315,Mixed,3.278611111111111,Skillshare,True
59,Calculus for beginners - Limits of Functions,Dániel Csíkos,0.0,0,166,Beginner,1.9213888888888888,Skillshare,True
60,Doing PhD? These Videos Will be Helpful,Tahir Yaqub,4.0,3,152,Mixed,1.0883333333333334,Skillshare,True
61,"Ultimate Light Current Systems, AC Choppers, DC Choppers, and Inverters for Electrical Engineering",Ahmed Mahdy,3.5,3,112,Mixed,15.299166666666666,Skillshare,True
62,Generative Adversarial Networks A-Z: State of the art (),Denis Volkhonskiy,4.0,3,110,Mixed,2.401666666666667,Skillshare,True
63,java swing beginner course,Yoel Fisher,3.0,5,61,Intermediate,1.153888888888889,Skillshare,True
64,Deadlock | Deadlock Solutions (OS),Lukas Vyhnalek,3.0,3,26,Beginner,0.2625,Skillshare,True
65,The Complete SAP Analytics Cloud Course,Michael Todd,0.0,0,20,Mixed,2.998611111111111,Skillshare,True
66,Microsoft SQL Server Interview Questions and Answers,Arindam Mondal,0.0,0,20,Mixed,0.6702777777777778,Skillshare,True
67,MCSA - Developing Databases-Indexes,Gulab Chand Tejwani,4.0,6,18,Intermediate,0.5547222222222222,Skillshare,True
68,"Learn how to use Python to solve daily problems in math, science or basic engineering",Fernando Neves,0.0,0,4,Beginner,2.7983333333333333,Skillshare,True
69,"[Français] Réaliser un Logiciel réel sous Python, et QT Designer",Abdelmoula Khdoudi,0.0,0,36,Mixed,1.9647222222222223,Skillshare,True
70,Data Visualisation with Python: Seaborn and Scatter Plots,FutureLearn,,,,Mixed,16.0,FutureLearn,True
71,Deep Learning on Azure with Python: AI for Beginners,"CloudSwyft Global Systems, Inc.",,,,Mixed,18.0,FutureLearn,True
72,Principles of Research and Statistics Design in Medicine,Dina Sarsembaeva,4.8,31.0,2891,Intermediate,1.0,Stepik,True
73,Business Analytics for Data-Driven Decision Making,BUx,,,44135,Advanced,28.0,edX,True
74,"Personal Finance, Part : Investing in Yourself",WellesleyX,,,,Beginner,28.0,edX,True
75,تعلم خوارزميات الذكاء الاصطناعى وتنبؤ البيانات بالويكا,Ahmed Abdullah,3.0,1.0,5,Mixed,2.5,Udemy,False
76,Python para Ciencia de Datos - Machine Learning con Python,Sebastian Tunnell,4.9,65.0,406,Mixed,6.0,Udemy,False
77,Искусственный интеллект и Машинное обучение + Основы Python,Timur Kazantsev,4.4,224.0,985,Mixed,3.5,Udemy,False
78,Numpy - the complete guide,Anup Shukla,4.8,3.0,4,Mixed,1.0,Udemy,False
79,Backpropagation Learning Method in Matlab,Phinite Academy,4.3,4.0,10,Mixed,3.5,Udemy,False
80,Artificial Intelligence - TensorFlow Machine Learning,Vinay Phadnis,3.3,24.0,448,Mixed,9.5,Udemy,False
81,Natural Language Processing with Machine Learning in Python,Priyanka Suduge,4.5,29.0,1095,Beginner,5.5,Udemy,False
82,Applied Time Series Analysis in Python,Marco Peixeiro,4.3,118.0,565,Intermediate,7.0,Udemy,False
83,Master Data Science with Python in Hours |,Berk Hakbilen,4.0,244.0,20397,Mixed,10.5,Udemy,False
84,Data Science & Machine Learning with R from A-Z Masterclass,Juan E. Galvan,4.6,1121.0,94545,Mixed,28.5,Udemy,False
85,TensorFlow Developer Certificate in : Zero to Mastery,Andrei Neagoie,4.7,1925.0,15560,Mixed,63.5,Udemy,False
86,Python Course: The Complete Python Developer Course from Beginner to Expert for,Praful B S,3.5,14,140,Mixed,8.226111111111111,Skillshare,True
87,The Complete Python Beginners Course: Coding Made Easy,AMG Inc ,0.0,0,13,Beginner,4.958333333333333,Skillshare,True
88,Biology | Enzymes | GCSE | IGCSE | Olevel | Other syllabus,Humaira Asim,2.3,6,130,Intermediate,0.4811111111111111,Skillshare,True
89,SQL Queries: Practice your SQL Knowledge!,Lukas Vyhnalek,0.0,0,113,Mixed,0.7391666666666666,Skillshare,True
90,Inferential Statistical Analysis with Python,University of Michigan,4.6,740.0,30000,Intermediate,,Coursera,False
91,How Google does Machine Learning,Google Cloud,4.6,6736.0,100000,Intermediate,9.0,Coursera,False
92,Supervised Machine Learning: Classification,IBM,4.9,106.0,6100,Intermediate,11.0,Coursera,False
93,Deploying a Python Data Analytics web app on Heroku,Coursera Project Network,,,,Intermediate,,Coursera,False
94,Classification with Transfer Learning in Keras,Coursera Project Network,4.5,149.0,5400,Intermediate,,Coursera,False
95,Big Data and Education,PennX,,,16913,Advanced,32.0,edX,True
96,Introduction to Statistical Methods for Gene Mapping,KyotoUx,,,16194,Advanced,16.0,edX,True
97,Diseño de proyectos de gobierno digital,IDBx,,,,Intermediate,40.0,edX,True
98,IIBA_CBAP / CCBA Preparation Course _Arabic .,Shaban Osman .,4.2,33.0,81,Intermediate,37.5,Udemy,False
99,Ciência de dados com R,Igor de Almeida,4.5,312.0,1133,Beginner,6.5,Udemy,False
100,Estatística para Ciência de Dados e Machine Learning,Jones Granatyr,4.7,320.0,2540,Mixed,20.5,Udemy,False
101,Forecast Future Demand of Phone Using Predictive Analytics,Noel Moses Mwadende,5.0,1.0,4,Mixed,4.0,Udemy,False
102,Professional Certificate in Data Engineering,Academy of Computing & Artificial Intelligence,4.4,5.0,59,Mixed,12.5,Udemy,False
103,Complete Microsoft SQL Server from Scratch: Bootcamp,Metla Sudha Sekhar,3.7,11.0,2081,Mixed,9.0,Udemy,False
104,Complete Guide to Data Science Applications with Streamlit,Derrick Mwiti,4.7,13.0,160,Mixed,10.0,Udemy,False
105,Web Scraping in Python With BeautifulSoup and Selenium,Christopher Zita,4.6,164.0,870,Mixed,9.5,Udemy,False
106,Apache Spark - Real-time Stream Processing using Scala,Prashant Kumar Pandey,4.9,205.0,5468,Intermediate,4.5,Udemy,False
107,Computer Vision Masterclass,Jones Granatyr,4.5,365.0,26404,Mixed,25.5,Udemy,False
108,Recording and Managing Excel Macros,Pratheerth Padman,4.5,159.0,,Beginner,0.5,Pluralsight,False
109,Applied Data Science - : R Programming,Kumaran Ponnambalam,2.7,12,660,Mixed,2.783888888888889,Skillshare,True
110,Python In Minutes,Max S,3.3,320,4102,Beginner,1.5886111111111112,Skillshare,True
111,Developing Data Pipeline & Workflow in Python using Airflow,Nehaa Vishwakarma,1.7,3,133,Beginner,1.2019444444444445,Skillshare,True
112,Python Essentials: Password Generator in steps,Matthew Funcke,3.5,3,69,Beginner,0.3013888888888889,Skillshare,True
113,Teradata Fundamentals: Hands-On SQL Training,Saad Qureshi,2.5,1,38,Beginner,5.841388888888889,Skillshare,True
114,Introduction to Artificial Intelligence and Machine Learning,"CloudSwyft Global Systems, Inc.",,,,Mixed,18.0,FutureLearn,True
115,Applied Artificial Intelligence: Natural Language Processing,"CloudSwyft Global Systems, Inc.",,,,Mixed,18.0,FutureLearn,True
116,Spatial Data Science and Applications,Yonsei University,4.4,421.0,18000,Intermediate,12.0,Coursera,False
117,Big Data: procesamiento y análisis,Universitat Autònoma de Barcelona,4.2,228.0,12000,Intermediate,,Coursera,False
118,Apprendre la data science par la pratique avec Python !,Sébastien Daviot,4.5,269.0,1513,Mixed,13.5,Udemy,False
119,Practical Supervised and Unsupervised Learning with Python,Packt Publishing,0.0,0.0,29,Intermediate,9.0,Udemy,False
120,Learn SQL databases in a weekend,Girts Strazdins,4.6,3.0,21,Beginner,8.5,Udemy,False
121,"Logistic Regression, Decision Tree and Neural Network in R",Modeste Atsague,3.8,32.0,2998,Mixed,1.0,Udemy,False
122,Machine Learning for Predictive Maps in Python and Leaflet,EBISYS R&D,4.4,47.0,185,Mixed,6.0,Udemy,False
123,Learning Path: R: Complete Machine Learning & Deep Learning,Packt Publishing,4.2,160.0,1392,Advanced,17.5,Udemy,False
124,Linear Regression and Logistic Regression in Python,Start-Tech Academy,4.8,208.0,39040,Beginner,8.5,Udemy,False
125,Python for Data Science,Amanda Courses,0.0,0,29,Mixed,1.9952777777777777,Skillshare,True
126,Mastering Excel. . . . For Beginners: # Loan Payment Calculator,Joel Whitmer,3.7,7,45,Beginner,0.6333333333333333,Skillshare,True
127,Learn to build interactive charts with Plotly and Python,Pranjal Srivastava,0.0,0,7,Mixed,0.8988888888888888,Skillshare,True
128,Practical Data Science with MATLAB,MathWorks,4.7,868.0,37000,Beginner,80.0,Coursera,False
129,Data Science as a Field,University of Colorado Boulder,4.9,7.0,,Intermediate,,Coursera,False
130,Siamese Network with Triplet Loss in Keras,Coursera Project Network,4.7,102.0,3600,Advanced,,Coursera,False
131,Introductory Statistics : Analyzing Data Using Graphs and Statistics,SNUx,,,5763,Beginner,16.0,edX,True
132,Estatística com Linguagem R,Luciano Galdino,4.6,134.0,636,Mixed,17.5,Udemy,False
