,title,author,rating,votes_count,students_count,level,duration,platform,free
1318,"Vectors for Physics (Mathematics for High School Physics, part )",Edouard RENY,3.5,22,352,Beginner,1.1341666666666668,Skillshare,True
1319,"Trigonometry for Physics (Mathematics for High School Physics, part )",Edouard RENY,3.4,12,255,Mixed,0.9644444444444444,Skillshare,True
1320,Python Fundamentals: Beginners Guide to Python Programming,Michael Murr,4.0,3,60,Beginner,4.950277777777778,Skillshare,True
1321,"Database Engines Explained - MyISAM, InnoDB, RocksDB and more!",Hussein Nasser,0.0,0,12,Intermediate,1.0663888888888888,Skillshare,True
1322,Data Analysis Using Python,Coursera Project Network,4.5,1844.0,27000,Intermediate,,Coursera,False
1323,Fundamentos de IA para Todos,IBM,4.7,175.0,5500,Beginner,36.0,Coursera,False
1324,Introduction to Neurohacking In R,Johns Hopkins University,4.6,253.0,20000,Intermediate,,Coursera,False
1325,Basic Data Processing and Visualization,University of California San Diego,4.3,166.0,17000,Intermediate,,Coursera,False
1326,Scripting with Python,SNHUx,,,9278,Beginner,64.0,edX,True
1327,Introduction to Bioconductor,HarvardX,,,41419,Intermediate,16.0,edX,True
1328,AWS Sagemaker - Fully Managed Machine Learning Service,"Dr Aashish Dikshit, PHD(Founder of Lakshmish academy)",2.9,46.0,1307,Mixed,4.0,Udemy,False
1329,Aprende R: Curso de Introducción a Data Science,Erik McDonald,4.3,41.0,160,Mixed,6.5,Udemy,False
1330,Reconhecimento de Emoções com TensorFlow . e Python,Jones Granatyr,4.7,118.0,1680,Mixed,6.0,Udemy,False
1331,Artificial Intelligence und Reinforcement Learning in Python,Jan Schaffranek,4.4,262.0,2529,Mixed,12.0,Udemy,False
1332,Machine Learning in Construction. Price and Time Prediction,Boiko Artem,4.7,2.0,13,Beginner,1.5,Udemy,False
1333,Hands-On Artificial Intelligence for Small Businesses,Packt Publishing,5.0,3.0,57,Beginner,4.5,Udemy,False
1334,Clean Machine Learning Code,"Moussa Taifi, Ph.D.",4.6,9.0,86,Advanced,5.0,Udemy,False
1335,neural networks transfer learning and sentiment prediction,Dan We,4.0,37.0,253,Beginner,3.5,Udemy,False
1336,Mastering Databricks & Apache spark -Build ETL data pipeline,Priyank Singh,4.1,174.0,1022,Mixed,4.5,Udemy,False
1337,Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,4.2,357.0,2362,Mixed,4.0,Udemy,False
1338,TensorFlow . Practical,"Dr. Ryan Ahmed, Ph.D., MBA",4.7,577.0,5136,Mixed,12.0,Udemy,False
1339,Animation & Data Visualization in Autodesk Maya,Lucas Ridley,3.5,9,810,Beginner,4.974166666666667,Skillshare,True
1340,Thermodynamics - The science of energy transfer,The Learning Hub,0.0,0,81,Mixed,3.856388888888889,Skillshare,True
1341,Python for Absolute Beginners,Ali Hamdan,4.0,17,69,Beginner,1.4822222222222223,Skillshare,True
1342,Global Shocks: How to Manage Change in the Global Business Environment,Auckland University of Technology (AUT),4.6,9,413,Mixed,6.0,FutureLearn,True
1343,Data Visualization with Tableau,"University of California, Davis",4.5,6293.0,160000,Beginner,72.0,Coursera,False
1344,Statistical Modeling for Data Science Applications,University of Colorado Boulder,,,1900,Intermediate,144.0,Coursera,False
1345,Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,4.5,3138.0,110000,Beginner,,Coursera,False
1346,Computer Vision with Embedded Machine Learning,Edge Impulse,4.6,11.0,2000,Intermediate,31.0,Coursera,False
1347,Customising your models with TensorFlow,Imperial College London,4.8,124.0,9400,Intermediate,,Coursera,False
1348,Neural Style Transfer with TensorFlow,Coursera Project Network,4.6,110.0,4200,Intermediate,,Coursera,False
1349,Data Visualization using Plotnine and ggplot,Coursera Project Network,,,,Intermediate,,Coursera,False
1350,Data Manipulation and Management using MYSQL Workbench,Coursera Project Network,,,,Beginner,,Coursera,False
1351,Bayesian Statistics,Duke University,3.8,761.0,69000,Intermediate,,Coursera,False
1352,Cluster Analysis- Theory & workout using SAS and R,Gopal Prasad Malakar,4.1,258.0,1937,Mixed,6.5,Udemy,False
1353,Data Science: Aprenda R do ZERO: Parte /,Leonardo Henrique Oliveira Pena,3.2,21.0,207,Intermediate,2.0,Udemy,False
1354,人工智能A-Z™: 学习如何创造一个AI (Artificial Intelligence A-Z),Hadelin de Ponteves,4.2,27.0,207,Mixed,16.5,Udemy,False
1355,Estatística Descritiva com Python,"Rafael F. V. C. Santos, Ph.D.",4.1,170.0,841,Beginner,5.5,Udemy,False
1356,Data Cleansing Master Class in Python,Mike West,4.1,3.0,116,Intermediate,3.5,Udemy,False
1357,Artificial Intelligence #: MLP Networks with Scikit & Keras,Sobhan N.,4.5,13.0,1701,Mixed,2.5,Udemy,False
1358,Power BI vs Tableau: Ultimate Dashboard Masterclass,Ligency | Team,3.5,24.0,236,Mixed,6.0,Udemy,False
1359,Pig For Wrangling Big Data,Loony Corn,3.6,98.0,3346,Mixed,5.5,Udemy,False
1360,The Complete Self-Driving Car Course - Applied Deep Learning,Rayan Slim,4.5,3388.0,19044,Mixed,18.0,Udemy,False
1361,The Complete Machine Learning Course with Python,Codestars by Rob Percival,4.4,4183.0,26059,Mixed,17.5,Udemy,False
1362,"Python Programming - Working with Numbers, Dates and Time",Channel 9,,,3616,Mixed,2.2,Alison,False
1363,Statistics for Business & Data Science: Scratch to Master Level- (Visualisation of Data),Sumit Saha (Ph.D),0.0,0,9,Mixed,1.573888888888889,Skillshare,True
1364,Autonomous Robots: Kalman Filters,Daniel Stang,3.5,3,158,Beginner,2.082777777777778,Skillshare,True
1365,ACID Properties in Database Systems by Example,Hussein Nasser,0.0,0,18,Beginner,1.3019444444444443,Skillshare,True
1366,Introduction To Supervised Learning with R Programming,Hoang Quy La,0.0,0,1,Intermediate,1.8477777777777777,Skillshare,True
1367,SPSS - Reliability Analysis - Cronbachs Alpha - Combining groups of variables into one,Ton Van Voorden,4.0,3,41,Mixed,0.3111111111111111,Skillshare,True
1368,Data Science Methodology,IBM,4.6,16855.0,160000,Beginner,8.0,Coursera,False
1369,Basics in computer vision,HSE University,3.2,16.0,3000,Beginner,48.0,Coursera,False
1370,Practical Reinforcement Learning,HSE University,4.2,441.0,44000,Advanced,,Coursera,False
1371,Artificial Neural Networks [ Theory & Hands-On ],Academy of Computing & Artificial Intelligence,3.5,66.0,11192,Mixed,2.0,Udemy,False
1372,Micro Curso - Oracle Machine Learning for SQL,Marcelo Reis Bohrer,3.7,2.0,167,Mixed,1.0,Udemy,False
1373,Guida ai Big Data con Spark . e Python,Valentina Porcu,3.9,41.0,192,Intermediate,7.5,Udemy,False
1374,Guide To AI & ML Developer Tools,Eduonix Learning Solutions,3.8,2.0,63,Beginner,7.5,Udemy,False
1375,Deep Learning in Practice III: Face Recognition,Anis Koubaa,4.4,11.0,74,Beginner,1.5,Udemy,False
1376,Data Management for Retail Dataset using Python and Pandas,Exam Turf,3.9,15.0,17403,Mixed,4.0,Udemy,False
1377,Real World Data Science & Machine Learning Projects,TheMachineLearning.Org .,4.9,18.0,1956,Mixed,19.5,Udemy,False
1378,Advanced Forecasting Models with Python,Diego Fernandez,3.7,36.0,440,Advanced,7.0,Udemy,False
1379,Modern Reinforcement Learning: Actor-Critic Algorithms,Phil Tabor,4.7,260.0,1589,Advanced,8.0,Udemy,False
1380,Computer Vision : Let's Build a Face Swapper in Python,Alvin Wan,3.2,10,505,Intermediate,0.8141666666666667,Skillshare,True
1381,Introduction to Data Mining,Amanda Courses,0.0,0,95,Beginner,1.0977777777777777,Skillshare,True
1382,TensorFlow JS - Build Machine Learning Projects using Javascript,Pragyan Subedi,2.0,1,54,Mixed,1.2858333333333334,Skillshare,True
1383,SAS Programming for Beginners: Part . Hands-on Project: Case study on Weight Loss data,Sharon Cheng,0.0,0,13,Beginner,0.36027777777777775,Skillshare,True
1384,Blockchain,Dragos Roua,2.5,6,313,Beginner,0.2338888888888889,Skillshare,True
1385,Tableau Desktop ilə Data vizuallaşdırılması,Tarigulu Khasizada,0.0,0,5,Beginner,2.049722222222222,Skillshare,True
1386,Business Analytics,University of Pennsylvania,4.6,15902.0,360000,Beginner,72.0,Coursera,False
1387,Apache Spark (TM) SQL for Data Analysts,Databricks,4.6,238.0,9200,Intermediate,,Coursera,False
1388,Climate Change Forecasting Using Deep Learning,Coursera Project Network,4.1,8.0,,Intermediate,,Coursera,False
1389,Relational database systems,Universidad Nacional Autónoma de México,4.4,405.0,19000,Intermediate,,Coursera,False
1390,Data Visualization Using Python,Coursera Project Network,4.6,69.0,3100,Intermediate,,Coursera,False
1391,Introducción al procesamiento de lenguaje natural,Universidad Austral,4.4,7.0,1600,Beginner,13.0,Coursera,False
1392,Machine Learning With Big Data,University of California San Diego,4.6,2353.0,61000,Mixed,22.0,Coursera,False
1393,Analysing Covid- Geospatial data with Python,Coursera Project Network,4.3,7.0,,Intermediate,,Coursera,False
1394,Hyperparameter Tuning with Neural Network Intelligence,Coursera Project Network,4.6,33.0,2800,Intermediate,,Coursera,False
1395,Relational Database Basics,IBM,,,,Beginner,16.0,edX,True
1396,Big Data for Reliability and Security,PurdueX,,,,Intermediate,24.0,edX,True
1397,Machine Learning,Valentina Alto,4.1,45.0,154,Advanced,1.5,Udemy,False
1398,Working with Apache Spark (Sept-),Proton Expert Systems & Solutions,4.6,4.0,27,Mixed,3.0,Udemy,False
1399,Hands-On Deep Q-Learning,Packt Publishing,3.8,4.0,55,Intermediate,2.0,Udemy,False
1400,: Build Semantic Recommender System with TensorFlow,GoTrained Academy,2.2,14.0,148,Intermediate,2.0,Udemy,False
1401,Docker Containers for Data Science and Reproducible Research,Vladimir Zhbanko,4.6,21.0,198,Beginner,7.0,Udemy,False
1402,Core skill for data science: learn dplyr package in R,Dunk Chawannut,3.5,26.0,105,Beginner,0.7,Udemy,False
1403,Data Mining with Rattle,"Geoffrey Hubona, Ph.D.",3.9,88.0,1607,Mixed,15.0,Udemy,False
1404,Data Science with Python Complete Course,Prashant Mishra,4.3,116.0,30668,Beginner,20.0,Udemy,False
1405,Data Science:Data Mining & Natural Language Processing in R,Minerva Singh,4.5,318.0,3356,Mixed,13.0,Udemy,False
1406,Python for Machine Learning & Data Science Masterclass,Jose Portilla,4.7,4698.0,41213,Mixed,44.0,Udemy,False
1407,Multiparadigm Data Science: The Next Frontier in Decision Making,,,,,Intermediate,0.4,Pluralsight,False
1408,Data Wrangling in Data Science and Machine Learning using Python,Sandeep Prasad,0.0,0,10,Mixed,2.535833333333333,Skillshare,True
1409,C# Programming: Working with files in C#,Lukas Vyhnalek,2.0,0,57,Mixed,0.7119444444444445,Skillshare,True
1410,Practical data analysis for coders (part ): from .csv file to useful insights,Ahmad Baracat,0.0,0,17,Beginner,0.5461111111111111,Skillshare,True
1411,Artificial Intelligence (AI) in Hospitality: Challenges and Business Opportunities,Swiss Education Group & Hotel Institute Montreux,4.5,10,348,Mixed,16.0,FutureLearn,True
1412,Advanced Recommender Systems,EIT Digital,3.8,9.0,,Intermediate,15.0,Coursera,False
1413,Probability - The Science of Uncertainty and Data,MITx,,,241475,Advanced,64.0,edX,True
1414,Prédiction des séries temporelles en deep learning -,Alexandre Bourrieau,5.0,3.0,28,Intermediate,7.5,Udemy,False
1415,OpenCV for Beginners,Exam Turf,0.0,0.0,4,Mixed,2.0,Udemy,False
1416,Recommender Systems for Beginners - Complete Edition,The Click Reader,4.1,14.0,233,Beginner,0.5,Udemy,False
1417,PySpark for Data Science - Intermediate,Exam Turf,4.2,15.0,20419,Intermediate,2.0,Udemy,False
1418,Building real world books recommendation engine with Python,Evergreen Technologies,3.9,21.0,78,Beginner,2.5,Udemy,False
1419,Data Science Newbs! Skills + Basic Web Experiment Analysis,Larry Wai,4.2,92.0,2206,Beginner,1.5,Udemy,False
1420,Microsoft Azure Machine Learning (ML) Fundamentals,Qasim Shah,2.5,2,105,Beginner,1.5819444444444444,Skillshare,True
1421,Learn How To Develop Programming Skills - OOP Classes & Objects,Sandeep Thakur,3.0,1,79,Mixed,1.6194444444444445,Skillshare,True
1422,Learning Application of R: Part of (Emotion Analysis),Partha Majumdar,4.0,3,21,Mixed,3.755,Skillshare,True
1423,BigQuery Basics for Data Analysts,Google Cloud,4.7,53.0,2700,Beginner,5.0,Coursera,False
1424,Build a Clustering Model using PyCaret,Coursera Project Network,,,,Beginner,,Coursera,False
1425,Deploy a predictive machine learning model using IBM Cloud,Coursera Project Network,,,,Intermediate,,Coursera,False
1426,Series temporales con Facebook’ Prophet y NeuralProphet,Coursera Project Network,,,,Beginner,,Coursera,False
1427,Análisis Multivariable en SPSS,GalileoX,,,6285,Beginner,20.0,edX,True
1428,Python: Step into the World of Machine Learning,Packt Publishing,2.9,12.0,250,Intermediate,7.0,Udemy,False
1429,Optimization Using Genetic Algorithms : MATLAB Programming,Karthik K,4.4,52.0,7644,Mixed,1.0,Udemy,False
1430,Python NumPy For Absolute Beginners,Eftekher Husain,4.1,103.0,8930,Mixed,1.5,Udemy,False
1431,Logistic Regression in Python,Start-Tech Academy,4.5,715.0,82457,Mixed,7.5,Udemy,False
1432,Interactive Python Dashboards with Plotly and Dash,Jose Portilla,4.6,6561.0,35807,Intermediate,9.5,Udemy,False
1433,Data Science: The Big Picture,Matthew Renze,4.5,825.0,,Beginner,1.2,Pluralsight,False
1434,Manipulating String Data in R,,,,,Intermediate,2.0,Pluralsight,False
1435,Excel Data Lookup Function Playbook,Pratheerth Padman,4.5,110.0,,Advanced,0.6,Pluralsight,False
1436,Build Your First Dashboard with Splunk,Craig Golightly,5.0,11.0,,Beginner,0.5,Pluralsight,False
1437,Python for absolute beginners (road to machine learning),Michal Hucko,0.0,0,135,Beginner,4.580555555555556,Skillshare,True
1438,Learn Arduino with a Project: Joystick,Alexey Naturyev,0.0,0,60,Beginner,1.1308333333333334,Skillshare,True
1439,"Dynamic Programming: Java, JavaScript, and Python",Hadi Youness,0.0,0,30,Mixed,5.1,Skillshare,True
1440,Introduction to Data Visualization and Analytics,CS Viz,0.0,0,30,Beginner,1.5652777777777778,Skillshare,True
1441,Learn SQL Basics for Data Science,"University of California, Davis",4.6,11405.0,370000,Beginner,80.0,Coursera,False
1442,"Statistical Thinking for Industrial Problem Solving, presented by JMP",SAS,4.8,46.0,3600,Beginner,44.0,Coursera,False
1443,Getting started with TensorFlow,Imperial College London,4.9,385.0,23000,Intermediate,,Coursera,False
1444,Big Data: el impacto de los datos masivos en la sociedad actual,Universitat Autònoma de Barcelona,4.7,1939.0,31000,Beginner,,Coursera,False
1445,Build a Machine Learning Web App with Streamlit and Python,Coursera Project Network,4.7,349.0,9700,Intermediate,,Coursera,False
1446,Нейронные сети и глубокое обучение,DeepLearning.AI,,,,Intermediate,20.0,Coursera,False
1447,Covid- Cases Forecasting Using Fbprophet,Coursera Project Network,4.8,6.0,,Intermediate,,Coursera,False
1448,Business Analytics and Digital Media,Indian School of Business,4.4,647.0,21000,Beginner,,Coursera,False
1449,Введение в теорию построения процедур множественной проверки гипотез,HSE University,,,,Intermediate,17.0,Coursera,False
1450,Sport Analytics: Data Driven Decision Making,AlaskaX,,,,Beginner,16.0,edX,True
1451,Introduction to Transforming with Data Analytics and the Digital Organization,UMDUSMx,,,,Beginner,16.0,edX,True
1452,Data Science A-Z : Machine Learning with Python & R,Arpan Gupta,3.6,169.0,665,Mixed,12.5,Udemy,False
1453,Python : Travaux pratiques (TP),Joel duncan Konan,5.0,1.0,13,Beginner,2.0,Udemy,False
1454,Statistics in R - R الإحصاء وتحليل البيانات باستخدام,Mohammad Jareebi,4.3,116.0,443,Beginner,13.5,Udemy,False
1455,Veri Bilimi için Python ( Python for Data Science ),Engin Bozaba,4.3,296.0,24833,Intermediate,3.0,Udemy,False
1456,【TensorFlow・Python 】GANによる画像生成AI自作入門,井上 博樹 (Hiroki Inoue),4.0,359.0,3684,Mixed,3.5,Udemy,False
1457,Random Forest Algorithm in Machine Learning,Exam Turf,5.0,1.0,4,Mixed,1.5,Udemy,False
1458,Evolutionary Algorithms - AI Tetris Bot,Neural Learner,2.9,5.0,93,Intermediate,1.5,Udemy,False
1459,SGLearn@From to : Spark for Data Science with Python,DioPACT SG,4.6,6.0,13,Mixed,8.5,Udemy,False
1460,IBM SPSS Modeler: Modeler’s New R Nodes,Sandy Midili,3.2,9.0,165,Intermediate,2.5,Udemy,False
1461,Data Science: Create a DeepFake Video using DeepFaceLab,School of Disruptive Innovation,4.0,10.0,51,Mixed,1.0,Udemy,False
1462,Artificial Intelligence #:SVM & Logistic Classifier methods,Sobhan N.,3.1,14.0,1688,Mixed,2.0,Udemy,False
1463,R Programming: R for Data Science and Data Analytics A-Z™,Teach Premium,4.1,38.0,5151,Mixed,7.5,Udemy,False
1464,The Complete Machine Learning and Data Science Course in R,Data Science Academy,4.7,51.0,192,Mixed,17.5,Udemy,False
1465,Ultimate Neural Nets and Deep Learning Masterclass in Python,John Harper,3.8,68.0,457,Beginner,6.5,Udemy,False
1466,Data Wrangling in Pandas for Machine Learning Engineers,Mike West,4.4,111.0,755,Beginner,2.0,Udemy,False
1467,Forecasting Models with R,Diego Fernandez,4.0,121.0,789,Mixed,7.0,Udemy,False
1468,Statistics Masterclass for Data Science and Data Analytics,Vijay Gadhave,3.8,218.0,1072,Mixed,5.0,Udemy,False
1469,Deep Learning Foundation : Linear Regression and Statistics,Jay Bhatt,4.2,1353.0,9180,Mixed,6.5,Udemy,False
1470,Building Machine Learning Solutions with TensorFlow.js,Abhishek Kumar,5.0,11.0,,Intermediate,4.1,Pluralsight,False
1471,Saving Energy in Homes with a Unified Approach to Data and AI,,,,,Intermediate,0.3,Pluralsight,False
1472,Data Science & Machine Learning Bootcamp -- Class of - PCA and Recommender systems,"Dr. Junaid Qazi, PhD",4.0,0,32,Mixed,1.5466666666666666,Skillshare,True
1473,Tableau MasterClass: Build and Publish COVID- Dashboard | Data Visualization Intro,Dee Naidoo,3.8,70,505,Beginner,2.9394444444444443,Skillshare,True
1474,Excel PivotTables Part : Real-World Case Studies,Chris Dutton,3.9,75,443,Intermediate,1.8169444444444445,Skillshare,True
1475,Azure Data Factory for Begineers,Eshant Garg,3.0,4,111,Beginner,1.1380555555555556,Skillshare,True
1476,Oil And Gas Drilling rig rotary system,Shaukat Ali,0.0,0,21,Mixed,0.7286111111111111,Skillshare,True
1477,Data Visualization with Microsoft Power BI,Harshit Srivastava,0.0,0,15,Mixed,1.5461111111111112,Skillshare,True
1478,(مقدمة بركات في تحليل البيانات (الجزء,Ahmad Baracat,3.2,15,160,Beginner,0.7083333333333334,Skillshare,True
1479,Learn Python Programming Language Easily and Quickly Part I,Rakesh Roshan,0.0,0,8,Beginner,1.1913888888888888,Skillshare,True
1480,Microsoft Azure AI Fundamentals AI- Exam Prep,Microsoft,4.7,149.0,5200,Beginner,48.0,Coursera,False
1481,Probability Theory: Foundation for Data Science,University of Colorado Boulder,4.4,15.0,4900,Intermediate,,Coursera,False
1482,ML: Diagnose the presence of Breast Cancer with Python,Coursera Project Network,,,,Intermediate,,Coursera,False
1483,Data Science: Computational Thinking with Python,BerkeleyX,,,90882,Beginner,20.0,edX,True
1484,Extração de dados da WEB com Python e Selenium,Gustavo Henrique Nunes,4.9,4.0,62,Mixed,2.5,Udemy,False
1485,Máster Redes Neuronales-Deep Learning con Tensorflow [],Ivan Pinar Domínguez,0.0,0.0,36,Mixed,6.0,Udemy,False
1486,Deep Reinforcement Learning - einfach verstehen,Samuel Reischl,3.9,18.0,169,Mixed,4.0,Udemy,False
1487,Machine Learning avec Python - de Zéro à Réseaux de Neurones,Maxime Adjigble | Python - Django - Machine Learning,4.5,41.0,309,Mixed,10.0,Udemy,False
1488,Data science - Découverte de la librairie Pandas pour python,Arnaud LAMANDÉ,4.5,50.0,346,Mixed,10.5,Udemy,False
1489,Corso completo di Data Science e machine learning con Python,Valentina Porcu,4.3,1386.0,6422,Intermediate,18.0,Udemy,False
1490,The Complete Exploratory Analysis Course With Pandas [],Hoang Quy La,5.0,1.0,26,Beginner,6.0,Udemy,False
1491,Introduction to Machine Learning for Begineers[Data-science],Aakash Singh,5.0,10.0,12,Beginner,1.5,Udemy,False
1492,"Create & Deploy Data Science,Deep Learning Web Apps",Pianalytix .,4.8,8.0,314,Mixed,3.0,Udemy,False
1493,machine learning for beginners - neural networks,Dan We,4.3,24.0,433,Beginner,4.0,Udemy,False
1494,Mastering Probability & Statistic Python (Theory & Projects),AI Sciences Team,4.5,54.0,455,Mixed,14.0,Udemy,False
1495,Learn Statistics and Regression Modeling for Data Science,Data Science Guide,4.7,201.0,582,Mixed,5.5,Udemy,False
1496,Apache Spark Hands on Specialization for Big Data Analytics,Irfan Elahi,4.0,530.0,12330,Mixed,12.0,Udemy,False
1497,Convolutional Neural Networks in Python: CNN Computer Vision,Start-Tech Academy,4.8,976.0,103520,Mixed,7.5,Udemy,False
1498,Designing an Exploratory Data Analysis Research Plan,Jacey Heuer,4.0,10.0,,Intermediate,1.7,Pluralsight,False
1499,Advanced Web Scraping Tactics: Python Playbook,Pratheerth Padman,4.5,29.0,,Advanced,0.7,Pluralsight,False
1500,SAS programming for beginners: Part Getting data into SAS,Sharon Cheng,3.0,3,135,Beginner,1.8844444444444444,Skillshare,True
1501,Deep Learning Profits: Top Python Deep Learning Libraries You Must Learn in,Python Profits,0.0,0,60,Mixed,3.183611111111111,Skillshare,True
1502,Intermediate Python Immersive Training,Ahmed Mo IB,0.0,0,9,Intermediate,2.5225,Skillshare,True
1503,A SAS BASE certification course: Part . Merge or reshape SAS Data sets,Sharon Cheng,0.0,0,8,Mixed,2.8227777777777776,Skillshare,True
1504,Apprendre le python étape par étape,Sandy B,0.0,0,3,Mixed,1.873888888888889,Skillshare,True
1505,Machine Learning with TensorFlow on Google Cloud en Español,Google Cloud,4.6,331.0,9400,Intermediate,96.0,Coursera,False
1506,Data Storage in Microsoft Azure,Microsoft,4.8,8.0,,Intermediate,,Coursera,False
1507,Data Science in Real Life,Johns Hopkins University,4.4,2278.0,47000,Mixed,7.0,Coursera,False
1508,Regression Models,Johns Hopkins University,4.4,3270.0,130000,Mixed,,Coursera,False
1509,Introduction to R: Basic R syntax,Coursera Project Network,4.0,7.0,,Beginner,,Coursera,False
1510,Build Random Forests in R with Azure ML Studio,Coursera Project Network,4.8,53.0,4500,Beginner,,Coursera,False
1511,Operational Analytics with Microsoft Azure Synapse Analytics,Microsoft,,,,Intermediate,,Coursera,False
1512,Getting Started in Google Analytics,Coursera Project Network,4.5,980.0,38000,Beginner,,Coursera,False
1513,How Google does Machine Learning en Français,Google Cloud,4.3,15.0,,Intermediate,,Coursera,False
1514,Введение в анализ данных с помощью Excel,Rice University,,,,Mixed,,Coursera,False
1515,Natural Language Processing: NLP In Python with Projects,Data Is Good Academy,4.4,106.0,19647,Beginner,3.0,Udemy,False
1516,Ai工程师-自然语言处理实战(Python版),唐宇迪 唐,4.4,88.0,542,Intermediate,37.0,Udemy,False
1517,成為初級資料分析師 | R 程式設計與資料科學應用 | R for Data Science,Yao-Jen Kuo,4.6,119.0,698,Beginner,16.5,Udemy,False
1518,Data Science Project Planning,Gopinath Ramakrishnan,4.8,28.0,110,Beginner,5.0,Udemy,False
1519,Machine Learning With Python: Predicting Customer Churn,Eduonix Learning Solutions,3.3,29.0,155,Intermediate,1.5,Udemy,False
1520,Clustering & Classification With Machine Learning In Python,Minerva Singh,4.7,201.0,3039,Mixed,6.0,Udemy,False
1521,The Comprehensive Programming in R Course,"Geoffrey Hubona, Ph.D.",3.9,239.0,3115,Mixed,25.0,Udemy,False
1522,Querying Data Using T-SQL,Ami Levin,5.0,319.0,,Beginner,2.1,Pluralsight,False
1523,Ultimate Beginner's Guide to Python: A to Z Guide,Ahson Masonov,0.0,0,15,Beginner,6.545277777777778,Skillshare,True
1524,Ubuntu Linux Installation on Virtual Box,Pradeep D,0.0,0,15,Mixed,0.3527777777777778,Skillshare,True
1525,Super way to Learn Arduino | Creative,Mohammed Zaid,0.0,0,4,Mixed,1.5455555555555556,Skillshare,True
1526,SQL Server Integration Services (SSIS) - An Introduction,Phillip Burton,3.0,12,239,Beginner,3.758611111111111,Skillshare,True
1527,Getting Started with AWS Machine Learning,Amazon Web Services,4.5,6008.0,180000,Intermediate,,Coursera,False
1528,Doing More with SAS Programming,SAS,4.8,705.0,22000,Intermediate,24.0,Coursera,False
1529,Microsoft Azure for Data Engineering,Microsoft,4.5,33.0,1900,Intermediate,,Coursera,False
1530,Modern Regression Analysis in R,University of Colorado Boulder,,,,Intermediate,,Coursera,False
1531,Building Similarity Based Recommendation System,Coursera Project Network,4.3,26.0,,Intermediate,,Coursera,False
1532,image processing,HSE University,4.0,6.0,,Beginner,,Coursera,False
1533,쉽게 배우는 텍스트 마이닝(Text Mining),ITGO 아이티고,4.0,1.0,12,Advanced,56.0,Udemy,False
1534,机器学习实训营（算法推导+代码复现）,唐宇迪 唐,4.7,23.0,242,Intermediate,23.5,Udemy,False
1535,成為初級資料分析師 | Python 資料科學應用,Yao-Jen Kuo,4.3,59.0,488,Intermediate,20.0,Udemy,False
1536,Makine Mühendisleri için Derin Öğrenme,Ahmet Okudan,4.7,144.0,4830,Beginner,2.5,Udemy,False
1537,"Uczenie maszynowe w Pythonie. Podstawy, perceptron, regresja",Rafał Mobilo,4.6,202.0,2403,Intermediate,7.5,Udemy,False
1538,Python Pandas for Business Analytics/ Data Science _ Level,Dr. Nisha Arora,0.0,0.0,11,Beginner,5.0,Udemy,False
1539,Learning Path: TensorFlow: Machine & Deep Learning Solutions,Packt Publishing,3.0,6.0,156,Beginner,5.5,Udemy,False
1540,Telecom Customer Churn Prediction in Apache Spark (ML),Bigdata Engineer,3.5,20.0,200,Mixed,1.5,Udemy,False
1541,Learn Python By Doing: Real World Projects Masterclass,Pianalytix .,4.1,35.0,1492,Beginner,43.0,Udemy,False
1542,Creating Online Dashboards & Story Maps using arcGIS Online,Shoaib Shahzad Obaidi,4.7,35.0,6874,Mixed,2.5,Udemy,False
1543,Optimization with Python: Solve Operations Research Problems,Rafael Silva Pinto,4.6,195.0,1374,Mixed,14.0,Udemy,False
1544,Python & Machine Learning for Financial Analysis,"Dr. Ryan Ahmed, Ph.D., MBA",4.4,3625.0,93826,Mixed,23.0,Udemy,False
1545,"Implement Time Series Analysis, Forecasting and Prediction with Tensorflow .",Chase DeHan,2.0,17.0,,Advanced,1.1,Pluralsight,False
1546,Excel Data Visualization Part : Charts & Graphs,Chris Dutton,3.6,187,3495,Intermediate,2.4425,Skillshare,True
1547,Essentials of Machine Learning,Max S,3.3,6,134,Beginner,1.9708333333333334,Skillshare,True
1548,Orbital Motion - Physics - Gravity Course (Class ),Edouard RENY,0.0,0,71,Intermediate,0.6944444444444444,Skillshare,True
1549,Machine Learning for beginners with project,Aakash Singh,4.0,8,20,Beginner,2.04,Skillshare,True
1550,Writing a simple Data Structure In for Fortnite Stats Tracking and Data Analytics,Mike Bell,0.0,0,19,Beginner,0.7,Skillshare,True
1551,Power Point - Meisterkurs - Erstellen und präsentieren,Benjamin Schollän,3.0,4,23,Mixed,3.138333333333333,Skillshare,True
1552,Learn Access Table Schema,C S Hayes,0.0,0,18,Beginner,0.725,Skillshare,True
1553,Advanced Data Mining with Weka,The University of Waikato,4.6,8,14097,Mixed,20.0,FutureLearn,True
1554,Deploying Machine Learning Models in Production,DeepLearning.AI,4.8,55.0,5300,Advanced,,Coursera,False
1555,Text Mining and Analytics,University of Illinois at Urbana-Champaign,4.5,654.0,63000,Mixed,33.0,Coursera,False
1556,Building Machine Learning Pipelines in PySpark MLlib,Coursera Project Network,4.3,41.0,2200,Intermediate,,Coursera,False
1557,Connecting Rasa Chatbot to External Platforms,Coursera Project Network,,,,Intermediate,,Coursera,False
1558,Identifying Patient Populations,University of Colorado System,4.5,32.0,2200,Intermediate,,Coursera,False
