WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6A_13	Q6A_14	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9	Q10A_1	Q10A_2	Q10A_3	Q10A_4	Q10A_5	Q10A_6	Q10A_7	Q10A_8	Q10A_9	Q10A_10	Q10A_11	Q10A_12	Q10A_13	Q10A_14	Q10B_1	Q10B_2	Q10B_3	Q10B_4	Q10B_5	Q10B_6	Q10B_7	Q10B_8	Q10B_9	Q10B_10	Q10B_11	Q10B_12	Q10B_13	Q10B_14	Q11A_1	Q11A_2	Q11B_1	Q11B_2	Q11C_1	Q11C_2	Q12_1	Q12_2	Q12_3	Q12_4	Q12_5	Q12_6	Q12_7	Q12_8	Q12_9	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q14A_1	Q14A_2	Q14A_3	Q14B	Q14C_1	Q14C_2	Q14C_3	Q18A_1	Q18A_2	Q18B_1	Q18B_2	Q19A	Q19A_NS	Q19B_19	Q19B_20	Q19B_NS	Q19C_19	Q19C_20	Q19C_NS	Q21A_M	Q21A_W	Q21B	Q21C_M	Q21C_W
0.7909	2	2	NA	1	NA	1	29	2	3	NA	42	43	5	5	7	7	7	8	9	8	8	6	8	4	6	8	5	6	NA	NA	2	NA	NA	0	11	NA	2	6	5	5	7	7	6	7	6	8	7	5	5	8	6	7	6	6	7	8	8	8	6	7	8	5	5	8	7	2	NA	2	NA	2	3	1	1	1	3	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	5	2	2	NA	NA	NA	3	8	11	8	640	NA	91	NA	NA	96	NA	NA	75	83	1	80	88
0.7909	2	2	NA	1	2	9	34	99	NA	NA	44	NA	3	9	8	10	10	4	8	8	5	4	10	10	8	5	8	99	NA	NA	2	NA	90	NA	1	5	3	8	9	9	9	5	3	8	8	3	3	1	1	5	4	6	9	8	9	10	6	10	5	6	7	4	4	9	8	3	NA	2	NA	7	NA	1	1	1	4	2	2	3	2	1	2	1	1	1	1	2	2	4	2	2	4	5	3	NA	NA	NA	7	15	1	NA	2700	NA	NA	NA	NA	98	NA	NA	78	86	1	110	110
0.7909	2	4	NA	3	4	5	1	1	3	NA	1	4	9	4	8	3	6	8	9	7	8	8	4	3	7	9	7	99	NA	NA	2	NA	2	NA	20	NA	1	6	9	6	6	7	7	4	2	1	7	2	1	6	8	6	9	6	8	7	7	4	3	1	7	3	1	6	8	2	NA	2	3	1	NA	1	4	1	1	1	1	5	5	1	3	1	1	1	1	1	1	4	4	5	3	NA	2	NA	NA	NA	4	NA	3	10	500	NA	NA	NA	NA	NA	10	NA	82	92	1	115	115
0.7909	2	10	17	1	16	17	11	1	14	11	48	NA	3	6	9	1	7	5	10	10	6	10	1	7	10	10	3	99	NA	NA	1	NA	NA	0	22	1	3	10	10	10	10	5	0	5	3	0	2	0	0	2	10	5	10	5	5	8	8	3	4	0	3	0	0	3	0	1	NA	99	NA	3	NA	4	4	1	1	1	1	5	1	5	4	5	1	4	4	5	2	1	4	4	3	NA	2	NA	NA	NA	5	14	9	NA	300	NA	NA	20	NA	NA	NA	NA	75	75	1	75	78
0.7909	2	1	NA	2	NA	27	34	99	NA	NA	16	NA	8	5	4	4	4	6	7	5	2	6	3	7	6	9	3	99	NA	NA	3	NA	NA	0	58	NA	2	5	10	5	6	6	6	2	2	2	3	3	0	3	5	5	10	6	7	8	6	2	2	1	4	3	0	3	3	3	NA	3	4	99	NA	4	2	1	3	1	1	2	3	1	3	1	2	2	2	6	5	2	2	3	4	3	2	NA	NA	NA	8	1	2	4	NA	1	NA	NA	1	NA	0	NA	75	82	1	110	110
0.7909	2	1	NA	1	2	3	12	1	4	NA	15	1	8	5	7	9	8	5	10	6	9	7	5	10	10	9	9	99	NA	NA	2	NA	NA	86	1	NA	1	6	5	3	5	8	8	9	6	8	5	5	5	7	9	7	9	9	9	9	9	6	8	5	5	4	3	7	4	1	NA	2	1	1	NA	4	2	1	4	1	1	2	2	4	4	4	2	2	1	1	1	1	2	2	NA	NA	1	10	NA	NA	1	NA	1	3	2500	NA	92	NA	NA	NA	0	NA	78	86	1	110	110
0.7909	2	1	17	7	10	32	33	3	12	21	3	NA	8	3	3	1	6	8	8	10	4	1	8	10	7	10	7	99	NA	NA	1	NA	NA	11	NA	13	3	3	3	3	3	3	3	6	6	3	5	2	0	3	8	10	8	10	10	10	10	5	3	3	3	3	0	2	3	1	NA	3	NA	99	NA	4	4	1	3	1	1	3	1	1	4	4	4	4	4	2	2	2	4	99	NA	NA	NA	NA	NA	NA	1	NA	1	NA	2700	NA	NA	0	NA	NA	NA	NA	76	83	1	90	100
0.7909	2	2	NA	1	2	97	NA	1	6	33	1	NA	10	10	8	8	8	8	10	10	10	8	8	8	8	10	8	99	NA	NA	2	3	2	NA	1	NA	3	4	5	5	5	8	5	5	4	4	3	2	4	5	5	6	6	5	6	6	5	4	4	5	2	2	4	4	4	1	NA	99	NA	2	NA	1	4	1	2	1	1	2	2	2	3	1	1	2	1	1	2	6	6	1	9	NA	3	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	1	NA	NA	1	78	83	1	100	100
0.7909	2	3	NA	14	NA	8	NA	99	NA	NA	4	NA	6	6	3	7	6	5	7	7	0	8	6	3	5	8	6	99	NA	NA	4	NA	NA	0	11	NA	1	7	6	6	5	7	3	7	3	4	4	2	4	4	7	6	8	8	2	2	4	1	4	5	3	1	1	4	0	1	NA	3	NA	1	2	1	1	1	2	1	1	1	1	1	4	2	2	2	2	2	2	1	1	1	2	NA	2	NA	NA	NA	3	2	1	8	NA	1	NA	NA	1	98	NA	NA	79	83	1	84	87
0.7909	2	24	NA	8	10	11	NA	1	3	NA	46	NA	3	3	5	8	9	5	10	3	7	2	3	9	10	8	7	5	NA	NA	1	2	NA	5	11	NA	2	2	NA	3	NA	NA	NA	4	3	7	6	2	NA	3	7	5	NA	4	NA	NA	2	7	6	4	9	7	NA	7	9	98	NA	2	NA	8	NA	4	2	1	2	1	1	5	2	5	4	2	2	2	1	2	2	6	2	98	NA	NA	NA	NA	NA	NA	10	11	7	NA	NA	1	97	NA	NA	NA	5	NA	NA	NA	1	105	110
0.7909	2	4	NA	1	3	16	2	3	1	NA	45	46	7	NA	6	7	5	NA	8	8	8	4	5	8	8	9	9	99	NA	NA	1	NA	96	NA	19	NA	1	6	8	6	NA	6	NA	7	7	6	8	6	5	6	8	7	NA	NA	NA	6	4	5	NA	6	5	4	6	6	6	1	NA	2	NA	2	1	2	2	1	1	1	1	3	2	2	2	1	2	1	2	1	1	1	2	2	1	5	2	NA	NA	NA	1	3	1	NA	30000	NA	91	NA	NA	NA	NA	NA	78	78	1	80	80
0.7909	2	9	NA	7	1	15	NA	1	NA	NA	36	47	5	7	5	8	5	5	8	4	NA	5	6	3	5	8	7	99	NA	NA	5	NA	NA	20	14	NA	1	7	9	7	9	6	5	5	5	3	7	5	3	5	8	8	9	8	8	8	7	5	5	3	7	4	3	7	6	1	NA	3	NA	2	NA	2	2	1	1	1	1	2	2	3	3	2	2	2	1	2	2	1	1	10	NA	NA	2	NA	NA	NA	9	NA	1	6	NA	1	NA	10	NA	NA	10	NA	75	83	1	95	100
0.7909	2	2	NA	3	25	7	28	6	5	46	12	NA	10	7	7	8	5	8	10	5	5	NA	0	8	10	10	8	2	NA	NA	1	5	2	NA	32	1	1	5	5	5	8	8	7	8	5	8	5	5	0	5	10	5	5	5	10	8	5	10	5	10	5	8	0	0	10	NA	NA	1	NA	1	NA	1	2	1	3	1	1	3	1	2	3	1	1	1	1	2	1	1	2	3	2	NA	2	NA	NA	NA	1	4	1	NA	NA	1	95	NA	NA	NA	NA	1	75	84	1	90	95
0.7909	2	2	NA	3	NA	16	NA	99	NA	NA	1	NA	3	4	5	6	8	6	8	8	7	8	7	7	8	9	9	99	NA	NA	99	NA	NA	NA	1	NA	1	9	4	8	8	8	0	7	4	8	9	3	3	7	10	8	6	9	9	6	0	10	6	5	7	5	4	6	6	1	NA	3	NA	99	NA	2	2	1	2	1	1	3	2	1	2	2	6	1	1	2	1	1	1	1	NA	NA	2	NA	NA	NA	1	NA	1	NA	100000	NA	95	NA	NA	95	NA	NA	74	83	1	90	105
0.7909	2	4	NA	2	NA	9	NA	3	NA	NA	51	NA	4	10	10	10	10	8	8	5	5	5	5	8	8	6	9	99	NA	NA	2	NA	91	NA	67	NA	3	4	5	4	4	8	3	3	3	2	5	3	2	8	8	3	3	3	3	8	5	4	3	4	5	4	3	8	8	1	NA	99	NA	2	NA	2	1	1	2	1	1	3	2	1	2	2	1	1	1	1	1	2	2	4	NA	NA	2	NA	NA	NA	4	NA	8	NA	NA	1	NA	NA	1	98	NA	NA	74	83	1	80	86
0.7909	2	3	9	1	2	2	27	14	69	6	46	33	8	7	6	7	6	6	9	8	7	8	8	7	8	8	8	99	NA	NA	8	9	3	NA	25	11	1	8	9	9	9	8	8	9	NA	6	7	7	5	7	8	5	6	6	7	7	8	6	NA	3	5	5	5	5	4	3	NA	99	NA	1	6	3	3	1	2	1	1	4	2	1	2	1	3	2	2	2	1	1	4	7	16	NA	2	NA	NA	NA	8	NA	8	NA	NA	1	NA	0	NA	NA	NA	1	999	999	1	999	999
0.7909	2	13	NA	8	NA	16	NA	5	30	NA	16	NA	10	10	10	10	4	5	5	10	10	5	2	10	5	10	2	99	NA	NA	10	NA	96	NA	98	NA	1	5	10	5	5	5	5	8	8	10	5	2	5	5	10	5	10	10	10	10	10	8	10	10	3	3	5	10	10	1	NA	2	NA	2	NA	1	1	2	1	1	1	3	3	3	1	2	2	1	1	2	3	1	1	2	NA	NA	1	5	NA	NA	1	2	8	NA	NA	1	95	NA	NA	95	NA	NA	75	82	1	75	82

