WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9_1	Q9_2	Q9_3	Q9_4	Q9_5	Q9_6	Q9_7	Q9_8	Q9_9	Q9_10	Q9_11	Q9_12	Q9_13	Q9_14	Q9_15	Q9_16	Q9_17	Q10_1	Q10_2	Q10_3	Q10_4	Q10_5	Q10_6	Q10_7	Q10_8	Q10_9	Q10_10	Q10_11	Q10_12	Q10_13	Q10_14	Q10_15	Q10_16	Q10_17	Q10_18	Q10_19	Q10_20	Q11A_1	Q11A_2	Q11A_3	Q11B	Q11C_1	Q11C_2	Q11C_3	Q12_1	Q12_2	Q13	Q14_1	Q14_2	Q15A	Q15B	Q15C	Q17A_M	Q17A_W	Q17B	Q17C_M	Q17C_W
1.4099	5	4	2	7	1	18	NA	1	7	3	1	NA	8	4	1	1	1	6	8	4	10	9	9	10	11	12	NA	7	NA	96	NA	55	NA	1	1	3	3	3	1	1	5	1	1	3	5	1	1	4	3	3	2	2	1	1	1	5	4	4	2	1	6	2	1	1	1	1	1	1	4	2	2	NA	NA	1	2	NA	NA	2	NA	3	1	NA	1	2	2	77	82	1	110	120
1.4099	5	1	NA	7	NA	42	NA	55	56	NA	2	NA	3	8	10	2	5	0	10	3	2	8	8	5	15	NA	NA	5	NA	99	NA	11	42	2	1	3	3	3	1	1	2	3	3	2	3	5	3	1	3	3	1	1	2	2	5	5	1	2	2	5	1	1	1	1	2	2	5	1	2	3	3	NA	NA	3	NA	NA	NA	3	NA	4	NA	NA	2	1	2	74	81	1	85	85
1.4099	5	9	NA	22	NA	15	NA	18	NA	NA	1	NA	3	2	2	1	4	7	9	3	2	7	7	4	16	NA	NA	1	2	2	NA	6	NA	1	1	2	3	3	2	3	2	2	3	3	3	2	2	1	3	3	4	2	2	2	1	2	4	6	2	6	2	2	2	2	2	2	2	2	4	1	98	NA	NA	NA	NA	NA	NA	10	NA	3	8	NA	1	1	1	74	82	1	148	NA
1.4099	5	2	3	1	7	32	NA	2	NA	NA	1	19	8	8	10	5	5	7	10	3	8	8	9	7	13	NA	NA	3	4	NA	0	56	NA	1	2	2	3	3	3	2	2	3	2	3	3	2	2	3	2	3	1	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	13	NA	1	7	1	NA	2	NA	3	2	NA	2	1	2	75	80	1	80	80
1.4099	5	1	NA	7	1	2	45	1	14	NA	13	30	3	10	10	2	5	4	7	7	4	6	6	8	17	NA	NA	2	NA	NA	0	8	9	1	2	3	2	2	2	3	2	3	3	2	3	2	2	2	3	3	4	2	2	2	3	4	4	4	1	1	1	4	2	2	4	1	1	4	4	2	12	NA	NA	2	NA	NA	NA	2	NA	2	4	10	1	1	2	76	83	2	NA	NA
1.4099	5	2	NA	1	2	31	13	57	58	59	1	NA	8	10	7	10	9	0	10	5	10	10	10	5	99	NA	NA	2	NA	96	NA	11	NA	1	1	3	3	3	2	4	1	2	1	1	3	1	2	3	3	3	1	1	1	2	3	5	4	4	2	1	1	1	1	2	2	1	4	1	2	2	2	NA	NA	1	1	NA	NA	1	NA	3	4	NA	2	1	2	73	80	1	98	98
1.4099	5	5	NA	1	2	97	NA	2	1	NA	2	NA	10	5	5	1	2	5	5	5	10	4	2	5	9	NA	NA	2	NA	NA	0	42	NA	1	2	2	3	3	1	2	2	2	2	2	2	2	2	3	3	3	2	2	2	2	2	2	2	1	2	2	2	2	4	1	2	1	1	6	3	2	1	7	8	2	NA	NA	NA	5	NA	3	3	NA	1	1	4	81	82	1	140	140
1.4099	5	9	22	8	NA	15	2	5	NA	NA	98	NA	6	5	5	3	5	5	6	3	7	NA	3	7	1	NA	NA	1	8	NA	10	1	NA	3	3	2	3	3	2	3	5	5	3	3	5	5	5	2	1	5	4	4	4	3	6	5	2	2	2	2	2	2	6	6	4	2	6	4	2	2	99	NA	NA	2	NA	NA	NA	1	2	3	1	NA	2	1	2	73	80	1	75	80
1.4099	5	1	NA	22	NA	3	1	98	NA	NA	1	64	7	8	4	8	5	NA	7	NA	9	10	10	4	1	NA	NA	2	NA	91	NA	69	NA	1	1	2	5	5	1	3	1	2	3	5	5	2	1	1	3	3	2	2	5	2	1	4	5	2	2	1	1	2	6	2	2	1	1	1	6	2	15	NA	NA	1	6	7	NA	1	NA	3	9	2	1	1	2	73	80	1	999	999
1.4099	5	8	4	1	7	2	27	3	10	11	1	NA	9	5	7	0	3	1	6	2	8	5	6	5	18	NA	NA	2	NA	NA	6	56	NA	1	1	1	3	3	2	3	1	1	1	1	3	1	1	1	3	3	1	1	3	2	5	5	4	2	2	2	2	2	6	2	2	2	2	4	4	6	99	NA	NA	NA	NA	NA	NA	2	NA	4	NA	NA	1	1	2	78	85	1	90	96

