WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_8	Q6A_9	Q6A_11	Q6A_12	Q6A_13	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9A_8	Q9A_9	Q9A_10	Q9A_11	Q9A_12	Q9A_13	Q9A_14	Q9A_15	Q9A_16	Q9A_17	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9B_8	Q9B_9	Q9B_10	Q9B_11	Q9B_12	Q9B_13	Q9B_14	Q9B_15	Q9B_16	Q9B_17	Q10A_1	Q10A_2	Q10B_1	Q10B_2	Q10C_1	Q10C_2	Q11A_1	Q11A_2	Q11A_3	Q11B	Q11C_1	Q11C_2	Q11C_3	Q15	Q16	Q17	Q18	Q19_1	Q19_2	Q19_3	Q19_4	Q19_5	Q19_6	Q20_1	Q20_2	Q21_1	Q21_2	Q23A_M	Q23A_W	Q23B	Q23C_M	Q23C_W
0.6359	6	1	NA	7	14	22	NA	31	32	30	2	12	8	7	9	9	7	6	5	3	10	5	8	6	16	NA	NA	8	NA	NA	6	22	NA	7	4	5	6	9	5	2	2	4	1	4	4	3	NA	NA	2	7	7	5	3	8	10	7	6	2	3	2	4	5	3	5	2	1	6	5	6	1	NA	19	NA	98	NA	NA	NA	NA	NA	NA	NA	1	2	2	1	3	3	1	1	3	8	NA	8	NA	74	81	1	999	999
0.6359	6	1	NA	10	7	2	NA	5	6	2	7	3	8	4	5	7	5	7	3	5	3	2	3	4	98	NA	NA	16	NA	1	NA	1	NA	3	2	3	1	0	5	1	0	3	1	2	0	2	0	3	0	NA	4	4	2	2	3	5	2	0	2	0	3	5	1	2	3	2	NA	98	NA	98	NA	98	NA	98	NA	NA	NA	NA	NA	NA	2	2	1	2	1	3	4	1	3	3	9	NA	9	NA	74	80	1	81	88
0.6359	6	1	NA	8	1	27	10	2	6	9	2	NA	6	8	2	9	9	8	8	5	3	0	3	9	99	NA	NA	10	NA	NA	6	19	NA	7	7	5	8	5	4	5	3	3	5	6	6	3	7	2	5	8	8	9	5	9	6	7	5	3	3	6	5	6	5	8	7	6	8	10	NA	2	5	18	NA	3	NA	NA	2	NA	NA	NA	1	2	2	2	1	3	2	2	2	3	7	NA	7	NA	80	80	1	999	999
0.6359	6	1	NA	3	15	13	35	32	NA	NA	32	33	6	8	4	7	5	6	6	1	7	0	1	5	5	NA	NA	8	NA	NA	0	8	61	7	5	6	2	8	7	2	3	5	3	6	4	4	2	4	3	NA	6	4	8	4	8	7	4	2	2	1	2	6	3	1	4	2	NA	6	NA	8	NA	9	NA	23	24	NA	2	NA	NA	NA	2	2	1	2	3	2	2	2	2	3	12	NA	12	NA	75	85	1	90	90
0.6359	6	3	NA	7	NA	27	NA	1	5	NA	33	34	5	0	3	3	4	4	3	3	4	2	3	4	17	18	NA	2	NA	NA	10	22	NA	4	4	2	6	2	3	8	1	1	3	3	3	3	3	3	2	NA	3	3	2	5	3	3	6	1	1	3	3	3	3	2	2	2	NA	NA	NA	2	7	8	10	34	35	NA	2	NA	NA	NA	1	1	1	2	1	2	2	2	1	3	12	NA	12	NA	73	80	1	100	100
0.6359	6	4	NA	7	8	34	21	5	18	NA	25	NA	8	5	8	9	9	0	8	8	8	2	9	7	NA	NA	NA	4	NA	NA	10	47	NA	7	8	5	6	5	8	4	3	3	3	3	8	6	7	6	5	NA	8	9	5	8	5	8	4	3	3	3	3	9	7	7	7	4	NA	3	NA	1	NA	12	NA	28	NA	NA	2	NA	NA	NA	NA	1	1	1	2	3	2	2	2	3	14	NA	14	NA	74	76	1	110	110
0.6359	6	9	NA	21	16	48	NA	5	1	4	6	5	10	6	8	10	10	5	3	0	5	2	2	6	25	26	NA	10	2	NA	0	26	46	5	5	3	7	10	9	3	0	2	2	6	6	6	10	10	2	NA	5	5	3	0	10	8	7	0	2	0	8	7	7	10	10	6	NA	4	NA	5	6	11	NA	2	1	NA	2	NA	NA	NA	2	2	1	2	1	1	2	1	1	2	6	NA	6	NA	80	80	1	85	85
0.6359	6	2	NA	7	1	20	33	2	6	33	1	NA	5	7	8	3	8	7	8	2	6	4	6	5	19	NA	NA	1	NA	NA	25	1	NA	6	6	7	8	5	3	3	2	2	6	3	2	7	4	7	0	NA	6	6	7	8	3	3	3	2	2	6	6	3	6	4	6	0	NA	5	NA	4	NA	98	NA	18	NA	NA	2	NA	NA	NA	1	1	2	1	3	1	1	2	1	3	3	NA	3	NA	75	83	1	120	120
0.6359	6	9	NA	20	7	48	NA	6	34	35	99	NA	5	8	10	8	5	8	5	5	5	5	5	5	24	27	NA	9	NA	91	NA	1	NA	2	3	3	5	5	5	3	2	2	5	5	3	3	2	3	5	NA	5	3	3	5	3	3	3	2	2	5	5	3	3	3	3	5	NA	3	4	6	17	1	16	20	NA	NA	3	NA	NA	NA	1	1	1	1	2	2	2	1	2	2	98	NA	98	NA	73	80	1	85	85
0.6359	6	1	9	7	1	38	NA	19	6	NA	25	NA	5	6	9	8	4	7	5	4	6	5	7	7	20	NA	NA	1	NA	NA	0	1	NA	7	8	5	6	6	7	4	4	3	5	6	5	4	5	6	6	NA	8	8	6	7	7	8	6	5	4	7	7	6	6	6	7	6	NA	4	3	11	NA	3	NA	98	NA	NA	NA	NA	NA	NA	NA	1	1	1	2	2	2	1	2	2	1	NA	1	NA	73	79	1	80	85
